SalesOrderID;RevisionNumber;OrderDate;DueDate;ShipDate;Status;OnlineOrderFlag;SalesOrderNumber;PurchaseOrderNumber;AccountNumber;CustomerID;SalesPersonID;TerritoryID;BillToAddressID;ShipToAddressID;ShipMethodID;CreditCardID;CreditCardApprovalCode;CurrencyRateID;SubTotal;TaxAmt;Freight;TotalDue;Comment;rowguid;ModifiedDate
68951;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68951;;10-4030-020917;20917;;10;17502;17502;1;16197;1216618Vi83809;11694;2451.3;196.104;61.2825;2708.6865;;0FEEB10A-48BE-44C4-A73B-B200FD7824CF;01.04.2014 00:00
68952;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68952;;10-4030-012940;12940;;4;24465;24465;1;11397;916685Vi58792;;8.99;0.7192;0.2248;9.934;;27DEB09D-1088-4BE9-98C1-855F3D470557;01.04.2014 00:00
68953;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68953;;10-4030-011867;11867;;4;23077;23077;1;8058;316769Vi41765;;7.95;0.636;0.1988;8.7848;;5249CE34-98B5-45D8-8C3B-A43EC15B769D;01.04.2014 00:00
68954;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68954;;10-4030-011506;11506;;6;28075;28075;1;397;616791Vi2010;11691;7.95;0.636;0.1988;8.7848;;E60B7D36-44B2-4F7A-80FA-D16046A188E8;01.04.2014 00:00
68955;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68955;;10-4030-013615;13615;;9;15416;15416;1;18676;1016964Vi97072;11689;59.98;4.7984;1.4995;66.2779;;C1F430DA-A32A-4A9F-841C-444ADFD4EB9F;01.04.2014 00:00
68956;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68956;;10-4030-013002;13002;;9;22339;22339;1;15607;316985Vi80622;11689;24.99;1.9992;0.6248;27.614;;90447BA6-2F1D-4CBD-B76B-3108A5A0E9E7;01.04.2014 00:00
68957;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68957;;10-4030-015783;15783;;9;15710;15710;1;14433;217115Vi74812;11689;63.97;5.1176;1.5993;70.6869;;E7E49B5B-8A6E-45DA-BE46-A8F86FA08506;01.04.2014 00:00
68958;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68958;;10-4030-018247;18247;;9;13710;13710;1;10045;117577Vi51727;11689;75.97;6.0776;1.8993;83.9469;;C784EB86-949C-4A08-B566-07F6D0BCC69F;01.04.2014 00:00
68959;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68959;;10-4030-020268;20268;;9;27411;27411;1;2330;1217764Vi12157;11689;21.49;1.7192;0.5373;23.7465;;7563952E-7269-421C-9C5C-D0C320BBD0F7;01.04.2014 00:00
68960;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68960;;10-4030-026421;26421;;9;17228;17228;1;15358;217765Vi79344;11689;60.47;4.8376;1.5118;66.8194;;31222152-F8F5-484E-B644-9C8E25C43110;01.04.2014 00:00
68961;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68961;;10-4030-027721;27721;;9;21718;21718;1;11177;418047Vi57668;11689;166.28;13.3024;4.157;183.7394;;558ECD1F-4845-4147-B682-E13E4876B1DB;01.04.2014 00:00
68962;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68962;;10-4030-014015;14015;;9;13182;13182;1;13903;418518Vi72084;11689;34.99;2.7992;0.8748;38.664;;F4902BC1-40AC-4EBC-B918-8D9874FDAE53;01.04.2014 00:00
68963;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68963;;10-4030-016172;16172;;9;27697;27697;1;16331;218537Vi84438;11689;91.58;7.3264;2.2895;101.1959;;68060F53-FE63-4408-A38C-B131A216DE0F;01.04.2014 00:00
68964;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68964;;10-4030-017054;17054;;9;29495;29495;1;;;11689;53.99;4.3192;1.3498;59.659;;0C4EE273-CA90-4AFF-AEA2-FAF8B793238D;01.04.2014 00:00
68965;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68965;;10-4030-014777;14777;;10;21782;21782;1;11398;919547Vi58794;11694;2344.96;187.5968;58.624;2591.1808;;F851933B-904A-4F30-8BC4-F685BAE8CC7F;01.04.2014 00:00
68966;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68966;;10-4030-018177;18177;;10;15628;15628;1;14087;619624Vi73082;11694;2443.95;195.516;61.0988;2700.5648;;60A1B94A-64D0-4285-A66C-7C94CE87993B;01.04.2014 00:00
68967;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68967;;10-4030-011501;11501;;6;28863;28863;1;6148;1020720Vi31935;11691;63.47;5.0776;1.5868;70.1344;;06D5F0EA-3577-42EB-935B-B34398891D80;01.04.2014 00:00
68968;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68968;;10-4030-029233;29233;;1;17098;17098;1;2286;520986Vi11981;;63.97;5.1176;1.5993;70.6869;;BBE7CF97-77B4-4622-B1A2-5F2282336C39;01.04.2014 00:00
68969;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68969;;10-4030-011802;11802;;6;21396;21396;1;13802;1021974Vi71547;11691;27.28;2.1824;0.682;30.1444;;138F5797-0B60-43BA-AE4F-602328BEBA0F;01.04.2014 00:00
68970;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68970;;10-4030-024769;24769;;4;18393;18393;1;2433;922234Vi12675;;34.89;2.7912;0.8723;38.5535;;C925288E-84D5-4635-AE5A-FC29CB653457;01.04.2014 00:00
68971;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68971;;10-4030-023677;23677;;4;13908;13908;1;2060;322644Vi10758;;29.99;2.3992;0.7498;33.139;;182DF9F2-13C3-47A2-8861-71FD5C66F2DD;01.04.2014 00:00
68972;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68972;;10-4030-023519;23519;;4;16787;16787;1;14845;1123165Vi76889;;23.97;1.9176;0.5993;26.4869;;3EA897AB-4AED-4033-9423-D925229E8BBE;01.04.2014 00:00
68973;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68973;;10-4030-023260;23260;;1;22283;22283;1;12483;1123332Vi64548;;93.46;7.4768;2.3365;103.2733;;3655F895-0C1C-48CC-A90B-49FF483AF1E4;01.04.2014 00:00
68974;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68974;;10-4030-011922;11922;;6;26690;26690;1;5841;623701Vi30483;11691;14.98;1.1984;0.3745;16.5529;;DCEA7F74-8FBC-4345-A5BA-286BB19805EC;01.04.2014 00:00
68975;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68975;;10-4030-020329;20329;;4;14711;14711;1;7624;424381Vi39515;;69.99;5.5992;1.7498;77.339;;AF1C05E3-12F7-48C2-B413-E7F5D9989F10;01.04.2014 00:00
68976;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68976;;10-4030-029012;29012;;6;13024;13024;1;9219;124620Vi47565;11691;78.98;6.3184;1.9745;87.2729;;67000CE2-C772-4741-B536-C3E3F6389325;01.04.2014 00:00
68977;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68977;;10-4030-016759;16759;;4;28900;28900;1;9301;125057Vi47969;;7.28;0.5824;0.182;8.0444;;A5119BCE-3E0D-4EFD-9CFF-C61FEAA1A8AE;01.04.2014 00:00
68978;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68978;;10-4030-011262;11262;;6;29638;29638;1;;;11691;4.99;0.3992;0.1248;5.514;;2455EA32-2F3C-4AD8-90DE-561F7EE62E5D;01.04.2014 00:00
68979;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68979;;10-4030-015857;15857;;4;20299;20299;1;12957;1125459Vi67041;;4.99;0.3992;0.1248;5.514;;D9D63287-2463-4B4C-8E1A-63B38054FADC;01.04.2014 00:00
68980;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68980;;10-4030-015512;15512;;1;14703;41;1;3611;225489Vi19006;;61.96;4.9568;1.549;68.4658;;DC21623A-FB10-436B-A259-390932400AEE;01.04.2014 00:00
68981;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68981;;10-4030-018146;18146;;8;14478;14478;1;6816;526412Vi35527;;31.97;2.5576;0.7993;35.3269;;0408CAB5-DC2A-4FD9-9002-BEBC93B265EE;01.04.2014 00:00
68982;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68982;;10-4030-013692;13692;;10;27329;27329;1;13253;626516Vi68731;11694;24.99;1.9992;0.6248;27.614;;183C683D-EDA4-456C-887B-966360ACACE6;01.04.2014 00:00
68983;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68983;;10-4030-021866;21866;;7;11559;11559;1;9266;227126Vi47792;;4.99;0.3992;0.1248;5.514;;8BDB9D9B-BC9D-41C0-8EBD-D13777679A89;01.04.2014 00:00
68984;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68984;;10-4030-017988;17988;;7;11803;11803;1;11098;1227318Vi57257;;59.92;4.7936;1.498;66.2116;;52869E75-0450-4B6B-A0A0-52A1F6693F56;01.04.2014 00:00
68985;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68985;;10-4030-027317;27317;;10;28574;28574;1;3561;627344Vi18747;11694;6.28;0.5024;0.157;6.9394;;37A5E648-6DAA-40E4-8C50-D1A6E7F6ABFB;01.04.2014 00:00
68986;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68986;;10-4030-022315;22315;;10;19243;19243;1;459;528035Vi2390;11694;39.98;3.1984;0.9995;44.1779;;83547522-788C-4599-83E8-5F9825FB9D16;01.04.2014 00:00
68987;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68987;;10-4030-023951;23951;;7;28952;28952;1;4455;128187Vi23376;;36.27;2.9016;0.9068;40.0784;;7F836E9D-37BE-4733-A5D0-862E33CE63FE;01.04.2014 00:00
68988;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68988;;10-4030-022833;22833;;7;19873;19873;1;13651;1228261Vi70747;;29.48;2.3584;0.737;32.5754;;79272672-8CF8-4509-95C1-B2D8D59F39EE;01.04.2014 00:00
68989;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68989;;10-4030-021133;21133;;7;29642;29642;1;;;;21.49;1.7192;0.5373;23.7465;;B1C60F9B-F65C-44CA-B903-86157AAEC58D;01.04.2014 00:00
68990;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68990;;10-4030-016306;16306;;10;15341;15341;1;2592;228775Vi13502;11694;7.28;0.5824;0.182;8.0444;;6F2BAFFA-F113-4DB6-BB90-1BF2FD6E20F4;01.04.2014 00:00
68991;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68991;;10-4030-027923;27923;;8;28514;28514;1;15596;828890Vi80585;;28.99;2.3192;0.7248;32.034;;BC66B066-FCA5-405D-B3D5-9DD60D9D11A1;01.04.2014 00:00
68992;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68992;;10-4030-011566;11566;;7;29648;29648;1;;;;29.48;2.3584;0.737;32.5754;;9D2D396D-E6F3-4352-A28E-FB886D3EA422;01.04.2014 00:00
68993;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68993;;10-4030-014626;14626;;6;23548;23548;1;14029;1029919Vi72755;11691;149.46;11.9568;3.7365;165.1533;;2A40DE39-3A5E-43CF-93AB-23875AD91AF9;01.04.2014 00:00
68994;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68994;;10-4030-011862;11862;;1;28415;28415;1;15633;629928Vi80771;;42.28;3.3824;1.057;46.7194;;54B325FC-7AD5-4513-BAFD-CDA9EB930FF5;01.04.2014 00:00
68995;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68995;;10-4030-019883;19883;;4;25884;25884;1;3330;835489Vi17506;;548.98;43.9184;13.7245;606.6229;;BF6CBA6B-BA7F-46D1-9D6B-A904608D87E0;01.04.2014 00:00
68996;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68996;;10-4030-016851;16851;;4;14855;14855;1;10404;136545Vi53654;;2369.96;189.5968;59.249;2618.8058;;36B503D1-157D-4608-BDB2-5F329028000C;01.04.2014 00:00
68997;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68997;;10-4030-027769;27769;;7;19109;19109;1;366;137470Vi1823;;776.33;62.1064;19.4083;857.8447;;A43C73A8-3239-4335-ABFD-6A70B0787365;01.04.2014 00:00
68998;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68998;;10-4030-017925;17925;;9;29420;29420;1;;;11689;1120.49;89.6392;28.0123;1238.1415;;B4D9DD38-5A10-4137-9B55-CDDAD34CF461;01.04.2014 00:00
68999;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO68999;;10-4030-026028;26028;;9;27948;27948;1;5622;1138386Vi29434;11689;1155.48;92.4384;28.887;1276.8054;;89B63C34-D76F-4914-B9AE-750710DB9001;01.04.2014 00:00
69000;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69000;;10-4030-026138;26138;;9;25482;25482;1;12460;238406Vi64438;11689;1174.48;93.9584;29.362;1297.8004;;DF044296-81DF-49F5-A242-07089CCF9D5E;01.04.2014 00:00
